300;true;01-04-2021T08:00:00;01-04-2021T16:00:00;2
301;true;02-04-2021T08:00:00;02-04-2021T16:00:00;2
302;true;03-04-2021T08:00:00;03-04-2021T16:00:00;2
303;true;04-04-2021T08:00:00;04-04-2021T16:00:00;2
304;true;05-04-2021T08:00:00;05-04-2021T16:00:00;2
305;true;06-04-2021T08:00:00;06-04-2021T16:00:00;2
306;true;07-04-2021T08:00:00;07-04-2021T16:00:00;2
307;true;01-04-2021T16:00:00;01-04-2021T22:00:00;5
308;true;02-04-2021T16:00:00;02-04-2021T22:00:00;5
309;true;03-04-2021T16:00:00;03-04-2021T22:00:00;5
310;true;04-04-2021T16:00:00;04-04-2021T22:00:00;5
311;true;05-04-2021T16:00:00;05-04-2021T22:00:00;5
312;true;06-04-2021T16:00:00;06-04-2021T22:00:00;5
313;true;07-04-2021T16:00:00;07-04-2021T22:00:00;5
314;true;01-04-2021T10:00:00;01-04-2021T17:00:00;6
315;true;02-04-2021T10:00:00;02-04-2021T17:00:00;6
316;true;03-04-2021T10:00:00;03-04-2021T17:00:00;6
317;true;04-04-2021T10:00:00;04-04-2021T17:00:00;6
318;true;05-04-2021T10:00:00;05-04-2021T17:00:00;6
319;true;06-04-2021T10:00:00;06-04-2021T17:00:00;6
320;true;07-04-2021T10:00:00;07-04-2021T17:00:00;6
